,ParasiteCheckedBinomial,Par.Phylum,Par.Class,a.host.infect.site,b.host.infect.site,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,juv.lenth.min.um,juv.length.max.um,juv.width.min.um,juv.width.max.um,infect.larvae.min.um,infect.larvae.max.um,egg.size.min,egg.size.max,Ref,doi.y,alyssa.notes
480,Prosthodendrium naviculum,Platyhelminthes,Trematoda,intestine,,0.36,0.77,0.2,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,21,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
481,Protospirura numidica,Nematoda,Chromadorea,oesophagus,stomach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,380,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
482,Protostrongylus capensis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
483,Protostrongylus hobmaieri,Nematoda,Chromadorea,bronchioles,pulmonary parenchyma,17,41,76,207,17,38,76,207,30,41,178,231,260,320,15,18,NA,NA,60,102,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,synonym P. unciphorus
484,Protostrongylus rufescens,Nematoda,Chromadorea,bronchi,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,400,NA,NA,620,700,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
485,Protostrongylus rupricaprae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
486,Protostrongylus rushi,Nematoda,Chromadorea,lung parenchyma,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
487,Protostrongylus stilesi,Nematoda,Chromadorea,lung parenchyma,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
488,Prouterina wescotti,Platyhelminthes,Trematoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
489,Pseudamphistomum truncatum,Platyhelminthes,Trematoda,bile duct,gall bladder,1.64,12,0.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,35,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
490,Pseudoterranova decipiens,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
491,Pterygodermatites affinis,Nematoda,Chromadorea,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,745,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
492,Pygidiopsis summa,Platyhelminthes,Trematoda,intestine,,0.49,0.91,0.25,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,23.5,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
493,Raillietostrongylus samoensis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
494,Ribeiroia ondatrae,Platyhelminthes,Trematoda,esophasgus,,0.78,3.2,0.315,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,92,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
495,Rictularia affinis,Nematoda,Secernentea,small intestine,,9,30.1,NA,NA,9,9,NA,NA,10.5,30.1,NA,NA,NA,NA,NA,NA,NA,NA,39,45,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,synonym R. cahirensis
496,Rinadia andreevae,Nematoda,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
497,Schistocephalus solidus,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
498,Schistosoma hippopotami,Platyhelminthes,Trematoda,blood vessels,,3.3,6.4,0.09,0.27,5.2,6.4,NA,NA,3.3,4.7,0.09,0.27,NA,NA,NA,NA,NA,NA,93,93,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
499,Schistosoma mattheei,Platyhelminthes,Trematoda,blood vessels,,17,25,NA,NA,17,22,NA,NA,17,25,NA,NA,NA,NA,NA,NA,NA,NA,92,170,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
500,Setaria africana,Nematoda,Chromadorea,peritoneal,,36,78,300,700,36,46,300,500,62,78,500,700,154,204.2,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
501,Setaria bicoronata,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
502,Setaria caelum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
503,Setaria cervi,Nematoda,Chromadorea,peritoneal cavity,small intestine,46,120,380,900,46,60,380,450,60,120,600,900,140,230,NA,NA,1650,2320,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
504,Setaria congolensis,Nematoda,Chromadorea,peritoneal cavity,,76,210,540,960,76,110,540,550,110,210,600,960,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
505,Setaria cornuta,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
506,Setaria labiatopapillosa,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,310,NA,NA,2200,2200,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
507,Setaria scalprum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
508,Setaria thwaitei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
509,Setaria tundra,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
510,Setaria yehi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
511,Skrjabinagia arctica,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
512,Skrjabinema kolchida,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
513,Skrjabinema ovis,Nematoda,Chromadorea,large intestine,,2.3,10,110,550,2.3,3.7,110,180,5,10,350,550,1400,1400,NA,NA,NA,NA,47,63,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
514,Skrjabinema parva,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
515,Skrjabinema rupicaprae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
516,Skrjabingylus chitwoodorum,Nematoda,Chromadorea,frontal sinus,,1.2,1.9,NA,NA,1.2,1.2,NA,NA,1.9,1.9,NA,NA,428,545,NA,NA,776,922,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
517,Skrjabingylus nasicola,Nematoda,Chromadorea,frontal sinus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,407,NA,NA,825,980,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
518,Skrjabingylus petrovi,Nematoda,Chromadorea,frontal sinus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
519,Skrjabingylus santaceciliae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
520,Sobolevingylus petrowi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
521,Sobolevingylus skrjabini,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
522,Soboliphyme baturini,Nematoda,Enoplea,stomach,intestine,12,38,NA,NA,12,32,1000,1400,16,38,1200,3000,NA,NA,NA,NA,1500,2200,80,90,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
523,Southwelina hispida,Acanthocephala,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
524,Sparganum mansoni,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
525,Sphaerirostris lancea,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
526,Sphaerirostris lanceoides,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
527,Spiculopteragia alicis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
528,Spiculopteragia asymmetrica,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
529,Spiculopteragia boehmi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
530,Spiculopteragia dagestanica,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
531,Spiculopteragia houdemeri,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
532,Spiculopteragia mathevossiani,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
533,Spiculopteragia odocoilei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
534,Spiculopteragia pursglovei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
535,Spiculopteragia spiculoptera,Nematoda,Chromadorea,abomasum,small intestine,6,7,160,175,6,7,160,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
536,Spirocerca lupi,Nematoda,Chromadorea,esophagus,stomach,30,80,760,1150,30,54,760,760,54,80,1150,1150,NA,NA,NA,NA,NA,NA,22,27,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
537,Spirometra erinaceieuropaei,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
538,Spirometra janickii,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
539,Spirometra mansonoides,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
540,Spirura rytipleurites,Nematoda,Chromadorea,stomach,oesophagus,18,32,600,800,18,26,600,600,28,32,800,800,NA,NA,NA,NA,1300,1300,56,60,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
541,Stephanofilaria thelazioides,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
542,Stephanoprora spinosa,Platyhelminthes,Trematoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
543,Stephanurus dentatus,Nematoda,Chromadorea,perirenal fat,kidney,20,45,1100,2200,20,30,1100,1300,30,45,1500,2200,NA,NA,NA,NA,NA,NA,90,120,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
544,Stilesia hepatica,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
545,Strigea strigis,Platyhelminthes,Trematoda,intestine,,2.35,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,130,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
546,Strongyloides erschovi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
547,Strongyloides lutrae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
548,Strongyloides martis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
549,Strongyloides mustelorum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
550,Strongyloides papillosus,Nematoda,Chromadorea,small intestine,,3.5,6,NA,NA,NA,NA,NA,NA,3.5,6,50,65,NA,NA,NA,NA,NA,NA,40,60,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,Did not enter the free-living individuals
551,Strongyloides planiceps,Nematoda,Chromadorea,small intestine,,2.4,3.3,NA,NA,NA,NA,NA,NA,2.4,3.3,NA,NA,NA,NA,NA,NA,NA,NA,58,64,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
552,Strongyloides procyonis,Nematoda,Chromadorea,small intestine,,1.8,2.9,NA,NA,NA,NA,NA,NA,1.8,2.9,28,37,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
553,Strongyloides stercoralis,Nematoda,Chromadorea,small intestine,,1.7,2.7,NA,NA,NA,NA,NA,NA,1.7,2.7,30,40,NA,NA,NA,NA,NA,NA,55,60,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
554,Strongyloides vulpis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
555,Strongylus vulgaris,Nematoda,Chromadorea,large intestine,cecum,11,25,750,1400,11,16,750,950,20,25,1000,1400,NA,NA,NA,NA,930,1090,83,93,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R. C. Anderson,NA,
556,Taenia crassiceps,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
557,Taenia crocutae,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
558,Taenia hyaenae,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
559,Taenia hydatigena,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
560,Taenia krabbei,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
561,Taenia laticollis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
562,Taenia macrocystis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
563,Taenia martis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
564,Taenia multiceps,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
565,Taenia omissa,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
566,Taenia ovis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
567,Taenia parva,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
568,Taenia pisiformis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
569,Taenia polyacantha,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
570,Taenia regis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
571,Taenia rileyi,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
572,Taenia serialis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
573,Taenia solium,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
574,Taenia taxidiensis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
575,Taenia twitchelli,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
576,Tapironema coronatum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
577,Teladorasgia davtiani,Nematoda,Chromadorea,abomasum,,8.2,8.2,NA,NA,8.2,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
578,Teladorsagia circumcincta,Nematoda,Chromadorea,abomasum,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802,935,NA,NA,880,1000,80,100,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
579,Teladorsagia davtiani,Nematoda,Chromadorea,abomasum,,8.2,8.2,NA,NA,8.2,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
580,Teladorsagia pinnata,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
581,Thelazia californiensis,Nematoda,Chromadorea,tear duct,conjunctival sac,7.7,18.8,NA,NA,7.7,13,NA,NA,12,18.8,NA,NA,NA,NA,NA,NA,NA,NA,51,51,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
582,Thelazia callipaeda,Nematoda,Chromadorea,nictating membrabe,conjunctival sac,NA,NA,NA,NA,5,9,NA,NA,11,16,NA,NA,NA,NA,NA,NA,2.46,3.08,44,260,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R. C. Anderson,NA,
583,Thelazia gulosa,Nematoda,Chromadorea,conjunctival sac,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
584,Thominx aerophilus,Nematoda,Enoplea,trachea,bronchi,NA,NA,NA,NA,15,25,60,100,20,40,100,180,NA,NA,NA,NA,NA,NA,58,79,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,synonym with Capillaria aerophila
585,Thysaniezia giardi,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
586,Thysanosoma actinioides,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
587,Toxascaris leonina,Nematoda,Chromadorea,small intestine,,20,100,1500,2400,20,70,1500,2000,20,100,1800,2400,420,560,NA,NA,NA,NA,75,85,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R. C. Anderson,NA,
588,Toxocara canis,Nematoda,Chromadorea,small intestine,,40,180,2000,3000,40,100,2000,2500,50,180,2500,3000,348,532,NA,NA,NA,NA,85,90,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R. C. Anderson,NA,
589,Toxocara cati,Nematoda,Chromadorea,liver,lungs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
590,Toxocara genettae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
591,Toxocara mystax,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
592,Toxocara mystax,Nematoda,Chromadorea,small intestine,,30,120,1000,1100,30,70,1000,1100,40,120,NA,NA,NA,NA,NA,NA,NA,NA,65,75,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
593,Toxocara tanuki,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
594,Trichinella britovi,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
595,Trichinella murrelli,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
596,Trichinella nativa,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
597,Trichinella nelsoni,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
598,Trichinella papuae,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
599,Trichinella pseudospiralis,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
600,Trichinella sp. T6,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
601,Trichinella sp. T8,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
602,Trichinella sp. T9,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
603,Trichinella spiralis,Nematoda,Enoplea,small intestine,striated muscles,1.4,4,40,60,1.4,1.6,40,40,3,4,60,60,69,99,NA,NA,NA,NA,40,40,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R. C. Anderson,NA,
604,Trichinella zimbabwensis,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
605,Trichostrongylus affinis,Nematoda,Chromadorea,small intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
606,Trichostrongylus angistris,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
607,Trichostrongylus anomalus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
608,Trichostrongylus askivali,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
